,fips,mse_gaussian,mse_ln_gaussian,mse_expit,mse_baseline
0,36001,3195.91755958858,9174.684512280988,8788.535522559405,28341.527633279034
1,36003,25.15510230311662,20.77667750157325,23.70863021265469,10.956011603933199
2,36007,7265.935371186037,2671.8706684625186,7147.31739153432,1688.0796394730912
3,36009,183.48713427443528,99.50660996349308,180.61529235123135,19.026354381558527
4,36011,96.83165409602442,63.12242935679487,93.77435735828527,61.04463529288906
5,36013,121.85835278505155,92.74162443228337,120.11897388013185,33.93416969801786
6,36015,772.7292336869776,208.11331691360581,753.4307784439447,1144.0553145172971
7,36017,452.0098264922417,289.07821912008956,440.2641657069065,236.48965910425414
8,36019,281.1036085914587,228.58858586810172,274.53902372988847,89.526645584836
9,36023,21.30245588593115,11.866620985092402,20.531456467339066,0.8165691603625375
10,36025,110.38253501369007,73.72213604319158,106.14150338361766,97.91543141815237
11,36027,274243.6524199245,229509.52792927122,270778.2379067593,196132.4337582684
12,36029,2261834.539163488,279446.1653087011,2175412.695001689,662727.4437837048
13,36031,6.5317564979701555,3.7236642117045906,5.55138157933909,16.06245952273337
14,36033,10.229182523578508,13.299958702770203,9.516279698179524,3.2481651402616634
15,36035,25814.990476129507,178.48384587062148,28990.262134157456,1003.5368718906152
16,36037,964.7415247909362,319.27427342820386,943.4800200829485,1337.0215227567387
17,36043,281.1146026953074,179.33988217992604,276.39664082631066,26.028246802040364
18,36045,98.8759025731427,76.19098392653117,92.05603631201184,64.42465232020626
19,36049,1.8020415424599086,2.2560975246307073,1.6564229941962132,1.4802575267177784
20,36051,95.2522005902581,127.53879228270135,117.75225491247907,553.2340742343184
21,36053,8614.024367712547,9293.616021778858,8452.637927148962,277.72897617581606
22,36055,169100.99743692498,60462.05402508162,166141.75278328147,78185.93630021492
23,36057,263.05639393087336,114.40258327257361,259.5686665386744,99.51265337497124
24,36059,222573938.87619144,1293378799.859978,219332037.6794217,7578690.092309354
25,36061,95178458.39193179,24729545.777856383,118914997.52833277,283495238.83165914
26,36063,5250.449123377064,3967.748056663654,5140.9460307366035,13768.35438180832
27,36065,130070.04892061335,47942.78349304195,126816.4443362325,8400.636827373808
28,36067,141191.4413224886,63566.89697765091,140082.1827198701,18627.514061823822
29,36069,520.9938494486163,221.49362001843838,512.9252202368621,50.0113833513294
30,36071,629974.7715145868,6026252.734377938,456345.818274905,1166655.2121807449
31,36073,346.01647511646013,107.267040486282,331.8543216545904,588.0001123573653
32,36075,269.6001017102862,156.70192404158814,264.8412619743254,232.74073725354947
33,36077,214.08282308377346,105.29429355174534,209.91806593521187,199.9379656222371
34,36079,52103.80999788192,21348.63594819834,51263.80562033863,9951.249337471718
35,36083,647.9725565880316,1231.8568268021247,775.2677326102367,190.33467691946186
36,36087,6930199.355449113,9526492.44055031,5664160.946871516,2882336.0881194468
37,36089,1285.4025803439113,267.9561442486601,1256.7842782841801,3667.7930876723353
38,36091,6640.325939872471,1660.820969663839,6498.642874782664,5423.7090428539
39,36093,739.411686594362,1539.6978294520347,500.2060805011412,5705.594666990797
40,36095,8223.355864779414,33.45729106668837,9131.462465410326,145.92021892343402
41,36097,0.016584786964174602,0.09142305574830191,0.007878539854861304,7.6504131120439025
42,36101,1283.3332249044327,913.3049810533402,1228.253869060831,420.07532835038035
43,36103,14063438.02286963,51038096.73753977,13513348.854751207,22324112.10658359
44,36105,45773.26539107764,14703.024369003066,44306.55855386886,27734.268990622997
45,36109,236.29091589265835,358.0881683512973,205.4857172284006,84.21554139718202
46,36111,70800.97938469396,29360.59053636199,69429.04346513072,10442.582129673725
47,36113,943.0911339369458,643.579283559339,881.1567203803726,225.85673710952838
48,36117,371.15989881067185,157.90287827966526,366.21609502775783,239.3564650456374
49,36119,2109518.3790211887,64978763.01092103,1590960.2228831577,15541183.449628204
50,36121,222.34131819860247,56.35295067241753,216.77836441764074,129.9369136280065
51,36123,11.54915387123696,3.2155764553174366,11.23925366647377,18.573020207685328
