,time,FIPS,predicted
0,1,29095,0.0
1,2,29095,0.0
2,3,29095,0.0
3,4,29095,0.0
4,5,29095,0.0
5,6,29095,0.0
6,7,29095,0.0
7,8,29095,0.0
8,9,29095,0.0
9,10,29095,0.0
10,11,29095,0.0
11,12,29095,0.0
12,13,29095,0.0
13,14,29095,0.0
14,15,29095,3.005890100103365e-14
15,16,29095,5.846456244701045e-11
16,17,29095,3.839032659149015e-08
17,18,29095,1.0669297796506261e-05
18,19,29095,0.0012629967448366049
19,20,29095,0.06430037478964341
20,21,29095,1.4300460508268855
21,22,29095,14.270738629613497
22,23,29095,67.08783257420784
23,24,29095,162.7467870429636
24,25,29095,239.26869279541313
25,26,29095,266.27323755599826
26,27,29095,270.4559744387929
27,28,29095,270.7381821004856
28,29,29095,270.7464073847294
29,30,29095,270.7465101468994
30,31,29095,270.7465106936103
31,32,29095,270.74651069484236
32,33,29095,270.74651069484355
33,34,29095,270.74651069484355
34,35,29095,270.74651069484355
35,36,29095,270.74651069484355
36,37,29095,270.74651069484355
37,38,29095,270.74651069484355
38,39,29095,270.74651069484355
39,40,29095,270.74651069484355
40,41,29095,270.74651069484355
41,42,29095,270.74651069484355
42,43,29095,270.74651069484355
43,44,29095,270.74651069484355
44,45,29095,270.74651069484355
45,46,29095,270.74651069484355
46,47,29095,270.74651069484355
47,48,29095,270.74651069484355
48,49,29095,270.74651069484355
49,50,29095,270.74651069484355
50,51,29095,270.74651069484355
51,52,29095,270.74651069484355
52,53,29095,270.74651069484355
53,54,29095,270.74651069484355
54,55,29095,270.74651069484355
55,56,29095,270.74651069484355
56,1,29183,59.964012046499754
57,2,29183,65.22539291698838
58,3,29183,70.80523713725877
59,4,29183,76.70828489181076
60,5,29183,82.93791711620855
61,6,29183,89.49605297265573
62,7,29183,96.38305640532649
63,8,29183,103.59765344267574
64,9,29183,111.13686183945957
65,10,29183,118.9959345448507
66,11,29183,127.1683183453669
67,12,29183,135.64562886362856
68,13,29183,144.41764289822484
69,14,29183,153.47230886893757
70,15,29183,162.79577588865718
71,16,29183,172.37244172255785
72,17,29183,182.18501962106993
73,18,29183,192.21462373091606
74,19,29183,202.44087250335124
75,20,29183,212.84200923633716
76,21,29183,223.3950386133755
77,22,29183,234.07587784172762
78,23,29183,244.85952075219075
79,24,29183,255.72021300656587
80,25,29183,266.63163637206435
81,26,29183,277.56709986820476
82,27,29183,288.4997354745832
83,28,29183,299.40269600983834
84,29,29183,310.2493527548846
85,30,29183,321.0134903978743
86,31,29183,331.669496924285
87,32,29183,342.1925461619835
88,33,29183,352.55877081621054
89,34,29183,362.7454239904086
90,35,29183,372.7310273821924
91,36,29183,382.4955045653513
92,37,29183,392.0202980138589
93,38,29183,401.28846878726574
94,39,29183,410.28477807309343
95,40,29183,418.99575006530176
96,41,29183,427.4097159428844
97,42,29183,435.5168389936235
98,43,29183,443.3091211996762
99,44,29183,450.78039185904515
100,45,29183,457.9262790556087
101,46,29183,464.7441650063619
102,47,29183,471.2331265045605
103,48,29183,477.3938618389879
104,49,29183,483.2286057007281
105,50,29183,488.741033688491
106,51,29183,493.936158091329
107,52,29183,498.82021666380143
108,53,29183,503.40055611427687
109,54,29183,507.68551200368665
110,55,29183,511.68428670176445
111,56,29183,515.4068269731995
112,1,34003,24.56476543361568
113,2,34003,37.16117361198493
114,3,34003,55.327576010884236
115,4,34003,81.07857660942103
116,5,34003,116.95608451804877
117,6,34003,166.08683699180298
118,7,34003,232.2151670258537
119,8,34003,319.6983736692559
120,9,34003,433.451891214916
121,10,34003,578.8330027461709
122,11,34003,761.4554456455288
123,12,34003,986.9330065024681
124,13,34003,1260.557852055563
125,14,34003,1586.9282458716016
126,15,34003,1969.549428433197
127,16,34003,2410.439475374012
128,17,34003,2909.7774708983648
129,18,34003,3465.6330491157605
130,19,34003,4073.81336673098
131,20,34003,4727.855601039571
132,21,34003,5419.180608364278
133,22,34003,6137.407699425336
134,23,34003,6870.8135002566
135,24,34003,7606.901846592428
136,25,34003,8333.038880245642
137,26,34003,9037.099857910702
138,27,34003,9708.072795971042
139,28,34003,10336.56916920386
140,29,34003,10915.202688101963
141,30,34003,11438.812092570064
142,31,34003,11904.520765215082
143,32,34003,12311.642461826908
144,33,34003,12661.456474276272
145,34,34003,12956.885515849699
146,35,34003,13202.11472372661
147,36,34003,13402.19036971764
148,37,34003,13562.632817514575
149,38,34003,13689.091119314922
150,39,34003,13787.057806430012
151,40,34003,13861.653284949276
152,41,34003,13917.480965790533
153,42,34003,13958.547652495756
154,43,34003,13988.239193106558
155,44,34003,14009.339014712874
156,45,34003,14024.076650229308
157,46,34003,14034.194303919949
158,47,34003,14041.021380468113
159,48,34003,14045.549237347852
160,49,34003,14048.500810545927
161,50,34003,14050.39192304952
162,51,34003,14051.582847212248
163,52,34003,14052.31999365076
164,53,34003,14052.76845637604
165,54,34003,14053.036621217738
166,55,34003,14053.194229930268
167,56,34003,14053.28527606054
168,1,34013,34.155711336426805
169,2,34013,46.73059355031602
170,3,34013,63.32023914658453
171,4,34013,84.97776659109475
172,5,34013,112.95593127786088
173,6,34013,148.7217487471656
174,7,34013,193.9651946761101
175,8,34013,250.59978735375554
176,9,34013,320.7528240993269
177,10,34013,406.7431822513524
178,11,34013,511.04494056694364
179,12,34013,636.2356475790194
180,13,34013,784.9288604279719
181,14,34013,959.6915784770094
182,15,34013,1162.9483523789586
183,16,34013,1396.8750871452876
184,17,34013,1663.2867806065249
185,18,34013,1963.524534019987
186,19,34013,2298.348021010729
187,20,34013,2667.840092225981
188,21,34013,3071.3302332569388
189,22,34013,3507.3431221616097
190,23,34013,3973.577533034222
191,24,34013,4466.919336135545
192,25,34013,4983.490437233956
193,26,34013,5518.733310233754
194,27,34013,6067.528475921399
195,28,34013,6624.340055201269
196,29,34013,7183.382569540443
197,30,34013,7738.800648937134
198,31,34013,8284.85237648963
199,32,34013,8816.086734654999
200,33,34013,9327.506046102213
201,34,34013,9814.705381925283
202,35,34013,10273.982542319509
203,36,34013,10702.414251440961
204,37,34013,11097.896468624238
205,38,34013,11459.149009195937
206,39,34013,11785.68680382689
207,40,34013,12077.761945233116
208,41,34013,12336.282054357791
209,42,34013,12562.711372950691
210,43,34013,12758.961335343287
211,44,34013,12927.27721754304
212,45,34013,13070.126875727754
213,46,34013,13190.096667467804
214,47,34013,13289.798512504445
215,48,34013,13371.790813727066
216,49,34013,13438.5147325476
217,50,34013,13492.246187839282
218,51,34013,13535.062992048464
219,52,34013,13568.825793992057
220,53,34013,13595.170981798326
221,54,34013,13615.513405750424
222,55,34013,13631.056686331895
223,56,34013,13642.808942647542
224,1,34017,34.45631320020292
225,2,34017,46.43304374933477
226,3,34017,62.04105015591969
227,4,34017,82.19385992858702
228,5,34017,107.97503999931946
229,6,34017,140.6525529610087
230,7,34017,181.68942180284822
231,8,34017,232.74914484608132
232,9,34017,295.69421355041766
233,10,34017,372.57609241114375
234,11,34017,465.6151460442915
235,12,34017,577.1692624289765
236,13,34017,709.6903336008771
237,14,34017,865.6683151662287
238,15,34017,1047.5632795880801
239,16,34017,1257.7266761084913
240,17,34017,1498.3138682660478
241,18,34017,1771.1908807296504
242,19,34017,2077.8390830477774
243,20,34017,2419.262196321454
244,21,34017,2795.9004584613135
245,22,34017,3207.5569617311753
246,23,34017,3653.3410355163423
247,24,34017,4131.633062625494
248,25,34017,4640.074290918761
249,26,34017,5175.584065242565
250,27,34017,5734.4055184717545
251,28,34017,6312.179211810972
252,29,34017,6904.042609941417
253,30,34017,7504.751733539543
254,31,34017,8108.819968033162
255,32,34017,8710.667930608193
256,33,34017,9304.777594062425
257,34,34017,9885.843593473543
258,35,34017,10448.914822187835
259,36,34017,10989.520042513559
260,37,34017,11503.772243162426
261,38,34017,11988.447788674383
262,39,34017,12441.037921830288
263,40,34017,12859.771781769246
264,41,34017,13243.611669781201
265,42,34017,13592.222721984168
266,43,34017,13905.920341795352
267,44,34017,14185.599638651054
268,45,34017,14432.651675106741
269,46,34017,14648.871534342674
270,47,34017,14836.363104072296
271,48,34017,14997.445074055591
272,49,34017,15134.562023083537
273,50,34017,15250.203697580571
274,51,34017,15346.83473073973
275,52,34017,15426.836187396688
276,53,34017,15492.459505561868
277,54,34017,15545.792687732779
278,55,34017,15588.738006087748
279,56,34017,15623.000042642436
280,1,34019,104.25986961013187
281,2,34019,109.74752582860427
282,3,34019,115.41724013767184
283,4,34019,121.26825060517649
284,5,34019,127.29934317477972
285,6,34019,133.508841778608
286,7,34019,139.8946003238
287,8,34019,146.4539966566817
288,9,34019,153.18392859738842
289,10,34019,160.08081212577005
290,11,34019,167.1405817864308
291,12,34019,174.35869336686798
292,13,34019,181.73012888799045
293,14,34019,189.2494039309374
294,15,34019,196.91057730820444
295,16,34019,204.70726307076194
296,17,34019,212.63264482625632
297,18,34019,220.67949232667306
298,19,34019,228.8401802671668
299,20,34019,237.1067092212785
300,21,34019,245.47072862162713
301,22,34019,253.92356167953778
302,23,34019,262.4562321220983
303,24,34019,271.05949261097817
304,25,34019,279.72385469413194
305,26,34019,288.43962012938186
306,27,34019,297.1969134079519
307,28,34019,305.98571529642237
308,29,34019,314.7958972073836
309,30,34019,323.61725620238434
310,31,34019,332.4395504256506
311,32,34019,341.25253476356005
312,33,34019,350.0459965230229
313,34,34019,358.8097909217692
314,35,34019,367.5338761850658
315,36,34019,376.20834804658136
316,37,34019,384.8234734559412
317,38,34019,393.36972330191594
318,39,34019,401.8378039681107
319,40,34019,410.2186875473737
320,41,34019,418.5036405518311
321,42,34019,426.68425096737326
322,43,34019,434.75245351444056
323,44,34019,442.70055299095196
324,45,34019,450.52124558805366
325,46,34019,458.2076380848799
326,47,34019,465.75326484457264
327,48,34019,473.15210255023806
328,49,34019,480.3985826361664
329,50,34019,487.48760138636396
330,51,34019,494.4145276890662
331,52,34019,501.1752084522889
332,53,34019,507.76597170147096
333,54,34019,514.1836273957317
334,55,34019,520.4254660140866
335,56,34019,526.489254976999
336,1,34021,0.0
337,2,34021,0.0
338,3,34021,0.0
339,4,34021,0.0
340,5,34021,0.0
341,6,34021,0.0
342,7,34021,0.0
343,8,34021,0.0
344,9,34021,0.0
345,10,34021,0.0
346,11,34021,0.0
347,12,34021,0.0
348,13,34021,0.0
349,14,34021,0.0
350,15,34021,7.140349103409373e-13
351,16,34021,1.012501502863449e-09
352,17,34021,6.340776380984143e-07
353,18,34021,0.00016813982732814996
354,19,34021,0.018999872004032477
355,20,34021,0.9240179236364928
356,21,34021,19.653126121183508
357,22,34021,187.93478727735877
358,23,34021,849.7190531274209
359,24,34021,1996.0014632766413
360,25,34021,2873.0235369293955
361,26,34021,3168.9970820428093
362,27,34021,3212.8222308092368
363,28,34021,3215.6477503571623
364,29,34021,3215.72641297442
365,30,34021,3215.727351365111
366,31,34021,3215.7273561307115
367,32,34021,3215.7273561409615
368,33,34021,3215.7273561409706
369,34,34021,3215.7273561409706
370,35,34021,3215.7273561409706
371,36,34021,3215.7273561409706
372,37,34021,3215.7273561409706
373,38,34021,3215.7273561409706
374,39,34021,3215.7273561409706
375,40,34021,3215.7273561409706
376,41,34021,3215.7273561409706
377,42,34021,3215.7273561409706
378,43,34021,3215.7273561409706
379,44,34021,3215.7273561409706
380,45,34021,3215.7273561409706
381,46,34021,3215.7273561409706
382,47,34021,3215.7273561409706
383,48,34021,3215.7273561409706
384,49,34021,3215.7273561409706
385,50,34021,3215.7273561409706
386,51,34021,3215.7273561409706
387,52,34021,3215.7273561409706
